,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
295,mesa_std,nPhysFac,currentSmoker,,Prop. Mediated,-3.58879,-0.04773,0.00423
296,mesa_std,nPhysFac,alc,,ACME,-0.0,-0.00376,0.00307
297,mesa_std,nPhysFac,alc,,ADE,-3e-05,-0.10652,0.08851
298,mesa_std,nPhysFac,alc,,Total Effect,-0.00065,-0.10502,0.08709
299,mesa_std,nPhysFac,alc,,Prop. Mediated,0.00177,0.00522,0.06076
300,mesa_std,nRS,FamIncome,,ACME,-0.00049,-0.01012,0.00844
301,mesa_std,nRS,FamIncome,,ADE,0.00497,-0.08238,0.09515
302,mesa_std,nRS,FamIncome,,Total Effect,0.00912,-0.07873,0.09965
303,mesa_std,nRS,FamIncome,,Prop. Mediated,-0.05429,-0.30561,0.0481
304,mesa_std,nRS,nutrition,,ACME,-6e-05,-0.00141,0.00128
305,mesa_std,nRS,nutrition,,ADE,0.00551,-0.09938,0.0924
306,mesa_std,nRS,nutrition,,Total Effect,0.00909,-0.09061,0.09906
307,mesa_std,nRS,nutrition,,Prop. Mediated,-0.00609,-0.03335,0.00875
308,mesa_std,nRS,PhysAct,,ACME,-0.00016,-0.00241,0.00175
309,mesa_std,nRS,PhysAct,,ADE,0.00937,-0.07709,0.09814
310,mesa_std,nRS,PhysAct,,Total Effect,0.01143,-0.07295,0.10023
311,mesa_std,nRS,PhysAct,,Prop. Mediated,-0.01359,-0.05248,0.01137
312,mesa_std,nRS,currentSmoker,,ACME,2e-05,-0.00542,0.00544
313,mesa_std,nRS,currentSmoker,,ADE,0.0003,-0.09324,0.08983
314,mesa_std,nRS,currentSmoker,,Total Effect,0.01125,-0.0794,0.0991
315,mesa_std,nRS,currentSmoker,,Prop. Mediated,0.00156,-0.15383,0.27878
316,mesa_std,nRS,alc,,ACME,-0.00025,-0.00319,0.00293
317,mesa_std,nRS,alc,,ADE,0.00762,-0.08411,0.09766
318,mesa_std,nRS,alc,,Total Effect,0.00803,-0.08144,0.09938
319,mesa_std,nRS,alc,,Prop. Mediated,-0.03064,-0.06488,-0.00504
